BEVOEGD GEZAG NUMMER;BEVOEGD GEZAG NAAM;STRAATNAAM;HUISNUMMER-TOEVOEGING;POSTCODE;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;DENOMINATIE;TELEFOONNUMMER;INTERNETADRES;STRAATNAAM CORRESPONDENTIEADRES;HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES;POSTCODE CORRESPONDENTIEADRES;PLAATSNAAM CORRESPONDENTIEADRES;ADMINISTRATIEKANTOORNUMMER;KVK-NUMMER
20151;Ver. Chr. Voortgezet Onderwijs te Rotterdam en omgeving;Henegouwerplein;14;3021 PM;ROTTERDAM;0599;ROTTERDAM;Protestants-Christelijk;0102171399;www.cvo.nl;Postbus;2152;3000 CD;ROTTERDAM;059;40342087
20187;Stichting voor Christelijk Voortgezet Onderwijs in het Gooi;Bisonlaan;1;1217 GH;HILVERSUM;0402;HILVERSUM;Protestants-Christelijk;0356216517;www.cvogooi.nl;Postbus;153;1200 AD;HILVERSUM;696;40517211
20281;Stichting Lucas Onderwijs;Saffierhorst;105;2592 GK;'S-GRAVENHAGE;0518;S GRAVENHAGE;Samenwerking PC, RK;0703001100;www.lucasonderwijs.nl;Postbus;93231;2509 AE;'S-GRAVENHAGE;034;41158916
21464;Stichting Joodse Scholengem.sch. J.B.O.;Noordbrabantstraat;15;1083 BE;AMSTERDAM;0363;AMSTERDAM;Joods;0206444191;www.jbo.nl;Postbus;87058;1080 JB;AMSTERDAM;780;41198667
23155;Sticht. voor Katholiek Onderw. Sint-Liduina;Van der Brugghenlaan;2;3118 LA;SCHIEDAM;0606;SCHIEDAM;Rooms-Katholiek;0104706422;www.spieringshoek.nl;Postbus;255;3100 AG;SCHIEDAM;136;41141440
26093;Stg. Kath. Scholengemeenschap Etten-Leur en omgeving;Stijn Streuvelslaan;42;4873 EB;ETTEN-LEUR;0777;ETTEN-LEUR;Rooms-Katholiek;0765015905;www.k-s-e.nl;Postbus;159;4870 AD;ETTEN-LEUR; ;41102321
26157;Stichting Montessori Scholengemeenschap Amsterdam;Polderweg;3;1093 KL;AMSTERDAM;0363;AMSTERDAM;Algemeen bijzonder;0205979888;www.msa.nl;Postbus;92048;1090 AA;AMSTERDAM;325;41198980
26898;Het Amsterdams Lyceum;Valeriusplein;15;1075 BJ;AMSTERDAM;0363;AMSTERDAM;Algemeen bijzonder;0205747744;www.amsterdamslyceum.nl;Valeriusplein;15;1075 BJ;AMSTERDAM;222;40533287
28212;de Vrije School Noord en Oost Nederland;Dreef;4-B;7202 AG;ZUTPHEN;0301;ZUTPHEN;Antroposofisch;0575533860;www.vsnon.nl;Postbus;4086;7200 BB;ZUTPHEN;744;41038120
29187;Onderwijsstichting De Kempen;Tuinstraat;1;5531 GK;BLADEL;1728;BLADEL;Rooms-Katholiek;0497361261; ;Postbus;169;5530 AD;BLADEL;514;41087363
29278;Stg. Kath. Voortgez. Onderwijs 'De Breul';Arnhemse Bovenweg;98;3708 AG;ZEIST;0355;ZEIST;Rooms-Katholiek;0306915604;www.de-breul.nl;Arnhemse Bovenweg;98;3708 AG;ZEIST;706;41179783
29850;Stichting voor Christelijk Praktijkonderwijs voor Hardenberg en omgeving;Verlengde Korte Steeg;18;7772 RZ;HARDENBERG;0160;HARDENBERG;Protestants-Christelijk;0523267700;www.prohardenberg.nl;Verlengde Korte Steeg;18;7772 RZ;HARDENBERG;951;41022656
30101;Stichting Voortgezet Onderwijs Regio Meierijstad;Putsteeg;4;5481 XT;SCHIJNDEL;1948;MEIERIJSTAD;Rooms-Katholiek;0738200400;www.eldecollege.nl;Postbus;63;5480 AB;SCHIJNDEL; ;41082930
30582;Stg H3O v christ. peuterwerk kinderopv., prim./voortg. ond.;Kolfstraat;120;3311 XL;DORDRECHT;0505;DORDRECHT;Protestants-Christelijk;0788905000;www.h3o.nl;Postbus;151;3300 AD;DORDRECHT; ;41120110
30742;Stichting Samenwerkingsschool;Drs. F. Bijlweg;8-A;1784 MC;DEN HELDER;0400;DEN HELDER;Algemeen bijzonder;0615312582;www.speciaalonderwijsdenhelder.nl;Drs. F. Bijlweg;8-A;1784 MC;DEN HELDER; ;41240150
30783;Stichting voor Christelijk Voortg. Onderw. Albl.wrd West;Vijzellaan;4;3352 VH;PAPENDRECHT;0590;PAPENDRECHT;Algemeen bijzonder;0786442040;www.delagewaard.nl;Postbus;1100;3350 CC;PAPENDRECHT;136;40324053
30882;Stichting Eduvier Onderwijsgroep;De Schans;1901;8231 KM;LELYSTAD;0995;LELYSTAD;Algemeen bijzonder;0320252378;www.eduvier.nl;Postbus;2344;8203 AH;LELYSTAD;706;41023804
31028;Stg. Christ. Voortg. Onderwijs Zwijndrechtse Waard;Develsingel;5;3333 LD;ZWIJNDRECHT;0642;ZWIJNDRECHT;Protestants-Christelijk;0786194566;www.develsteincollege.nl;Postbus;377;3330 AJ;ZWIJNDRECHT;065;40324154
31087;Stichting Onderwijsgroep Tilburg;Stappegoorweg;183;5022 DD;TILBURG;0855;TILBURG;Algemeen bijzonder;0135397090;www.onderwijsgroeptilburg.nl;Postbus;1330;5004 BH;TILBURG; ;41097408
31107;Stichting Curio Onderwijsgroep West-Brabant;Trivium;74;4873 LP;ETTEN-LEUR;0777;ETTEN-LEUR;Samenwerking Opb., PC, RK, Alg;0765048000;www.rocwb.nl;Postbus;699;4870 AR;ETTEN-LEUR; ;41105340
31108;Stichting Agrar. Opleidingscentrum Terra;Hereweg;101;9721 AA;GRONINGEN;0014;GRONINGEN;Algemeen bijzonder;0505292929;www.terra.nl;Postbus;17;9700 AA;GRONINGEN; ;41011947
31127;Stichting STC-Group;Lloydstraat;300;3024 EA;ROTTERDAM;0599;ROTTERDAM;Algemeen bijzonder;0104486000;www.stc-group.nl;Postbus;63140;3002 JC;ROTTERDAM; ;41131703
31137;Stg. Lentiz Onderwijsgroep, s.w.s. voor BVE/VO ih Wl/NWN;Schiedamsedijk;114;3134 KK;VLAARDINGEN;0622;VLAARDINGEN;Algemeen bijzonder;0104349925;www.lentiz.nl;Postbus;3040;3130 CA;VLAARDINGEN; ;41146390
31157;Stg. Chr. Spec. Vgz. Onderwijs op Reformatorische grondslag;Kamperstraatweg;1-A;8265 PA;KAMPEN;0166;KAMPEN;Reformatorisch;0383325262;www.pieterzandt.nl;Postbus;296;8260 AG;KAMPEN;763;41024360
31226;Stichting Eindhovens Christelijk Voortgezet Onderw.;Botenlaan;38;5652 CA;EINDHOVEN;0772;EINDHOVEN;Protestants-Christelijk;0402527898;www.huygenscollege.nl;Postbus;8827;5605 LV;EINDHOVEN; ;41091840
31231;Stichting Fierder Onderwijs;De Hoefslag;40;9285 RV;BUITENPOST;0059;ACHTKARSPELEN;Protestants-Christelijk;0511542415;www.lauwerscollege.nl;Postbus;41;9285 ZV;BUITENPOST; ;40004932
31240;Willem Lodewijk Gymnasium;Verzetsstrijderslaan;220;9727 CK;GRONINGEN;0014;GRONINGEN;Protestants-Christelijk;0505719500; ;Verzetsstrijderslaan;220;9727 CK;GRONINGEN;940;40023417
33372;Stichting voor Christelijk Voortgezet Onderwijs West-Brabant;Paul Krugerlaan;2;4818 BC;BREDA;0758;BREDA;Protestants-Christelijk;0765330330;www.denassau.nl;Postbus;4740;4803 ES;BREDA; ;40281156
