BEVOEGD GEZAG NUMMER;BRIN NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;AANTAL LEERLINGEN;AANTAL VO LEERLINGEN UITBESTEED AAN VAVO;TOTAAL AANTAL LEERLINGEN
35647;02LG;02LG00;Carmelcollege Gouda;GOUDA;513;GOUDA;Zuid-Holland;559;0;559
35647;02LG;02LG06;Loc. Antoniuscollege Gouda;GOUDA;513;GOUDA;Zuid-Holland;1266;3;1269
35647;02LG;02LG08;Loc. ISK Gouda;GOUDA;513;GOUDA;Zuid-Holland;258;0;258
35647;02QN;02QN00;RK SGM Marianum;GROENLO;1586;OOST GELRE;Gelderland;944;3;947
35647;02QN;02QN02;RK SGM Marianum;LICHTENVOORDE;1586;OOST GELRE;Gelderland;563;1;564
35647;04OY;04OY00;Carmel College Salland;RAALTE;177;RAALTE;Overijssel;1140;0;1140
35647;04OY;04OY02;Carmel College Salland;RAALTE;177;RAALTE;Overijssel;1151;4;1155
35647;04OY;04OY06;Carmel College Salland;RAALTE;177;RAALTE;Overijssel;119;0;119
35647;05AV;05AV00;Twents Carmel College;OLDENZAAL;173;OLDENZAAL;Overijssel;994;3;997
35647;05AV;05AV01;Twents Carmel College;OLDENZAAL;173;OLDENZAAL;Overijssel;995;0;995
35647;05AV;05AV02;Twents Carmel College;OLDENZAAL;173;OLDENZAAL;Overijssel;1505;19;1524
35647;05AV;05AV03;Twents Carmel College;LOSSER;168;LOSSER;Overijssel;511;2;513
35647;05AV;05AV04;Twents Carmel College;DENEKAMP;1774;DINKELLAND;Overijssel;237;0;237
35647;05AV;05AV05;Twents Carmel College;OLDENZAAL;173;OLDENZAAL;Overijssel;191;0;191
35647;16VI;16VI00;RK SGM Canisius;ALMELO;141;ALMELO;Overijssel;728;1;729
35647;16VI;16VI01;RK SGM Canisius;TUBBERGEN;183;TUBBERGEN;Overijssel;690;0;690
35647;17VN;17VN00;Bonhoeffer College;ENSCHEDE;153;ENSCHEDE;Overijssel;221;0;221
35647;17VN;17VN01;Bonhoeffer College;ENSCHEDE;153;ENSCHEDE;Overijssel;419;0;419
35647;17VN;17VN05;Bonhoeffer College;ENSCHEDE;153;ENSCHEDE;Overijssel;1570;18;1588
35647;17VN;17VN06;Bonhoeffer College;ENSCHEDE;153;ENSCHEDE;Overijssel;1301;4;1305
35647;17VN;17VN09;Bonhoeffer College;ENSCHEDE;153;ENSCHEDE;Overijssel;569;0;569
35647;19HG;19HG00;Sg. Carmel Hengelo;HENGELO OV;164;HENGELO;Overijssel;1261;2;1263
35647;19HG;19HG02;Loc. Het Twickel College Borne;BORNE;147;BORNE;Overijssel;342;0;342
35647;19HG;19HG04;Loc. Het Twickel Coll. Delden;DELDEN;1735;HOF VAN TWENTE;Overijssel;141;0;141
35647;19HG;19HG06;Locatie Avila College;HENGELO OV;164;HENGELO;Overijssel;548;1;549
35647;19HG;19HG10;Locatie C.T. Stork College;HENGELO OV;164;HENGELO;Overijssel;555;0;555
35647;19HG;19HG11;Loc. Lyceum de Grundel;HENGELO OV;164;HENGELO;Overijssel;750;0;750
35647;19XH;19XH00;Het Hooghuis;OSS;828;OSS;Noord-Brabant;1466;11;1477
35647;19XH;19XH01;Het Hooghuis locatie Stadion;OSS;828;OSS;Noord-Brabant;495;0;495
35647;19XH;19XH03;Het Hooghuis locatie Heesch;HEESCH;1721;BERNHEZE;Noord-Brabant;362;0;362
35647;19XH;19XH04;Het Hooghuis locatie Zuid/West;OSS;828;OSS;Noord-Brabant;747;0;747
35647;19XH;19XH05;Het Hooghuis locatie Zuid/West;OSS;828;OSS;Noord-Brabant;330;0;330
35647;19XH;19XH08;Het Hooghuis loc. De Singel;OSS;828;OSS;Noord-Brabant;226;0;226
35647;19XH;19XH09;Het Hooghuis locatie Mondriaan;OSS;828;OSS;Noord-Brabant;885;6;891
36921;02FB;02FB00;CCNV;HARDERWIJK;243;HARDERWIJK;Gelderland;1380;11;1391
37052;00PJ;00PJ00;Erasmuscollege;ZOETERMEER;637;ZOETERMEER;Zuid-Holland;1685;1;1686
40003;14WJ;14WJ00;Het Vlietland College;LEIDEN;546;LEIDEN;Zuid-Holland;940;1;941
40060;22NE;22NE00;College De Heemlanden;HOUTEN;321;HOUTEN;Utrecht;1475;15;1490
40060;30BE;30BE00;Houtens;HOUTEN;321;HOUTEN;Utrecht;584;0;584
40075;04FR;04FR00;De Diken;SNEEK;1900;SUDWEST-FRYSLAN;Friesland;277;0;277
40075;25CR;25CR00;csg Bogerman;SNEEK;1900;SUDWEST-FRYSLAN;Friesland;1321;15;1336
40075;25CR;25CR03;Bogerman SGM;SNEEK;1900;SUDWEST-FRYSLAN;Friesland;601;0;601
40075;25CR;25CR07;csg Bogerman Koudum;KOUDUM;1900;SUDWEST-FRYSLAN;Friesland;168;0;168
40075;25CR;25CR10;csg Bogerman Balk;BALK;1940;DE FRYSKE MARREN;Friesland;277;0;277
40075;25GB;25GB00;Marne College;BOLSWARD;1900;SUDWEST-FRYSLAN;Friesland;753;7;760
40075;25GB;25GB02;Marne College;BOLSWARD;1900;SUDWEST-FRYSLAN;Friesland;208;0;208
40094;00RO;00RO00;Amadeus Lyceum;VLEUTEN;344;UTRECHT;Utrecht;2038;6;2044
40094;00RO;00RO03;Aurelius College;VLEUTEN;344;UTRECHT;Utrecht;22;0;22
40094;01EK;01EK00;Kranenburg;UTRECHT;344;UTRECHT;Utrecht;186;0;186
40094;01KF;01KF00;St Gregorius College;UTRECHT;344;UTRECHT;Utrecht;336;0;336
40094;01KF;01KF04;St Gregorius College;UTRECHT;344;UTRECHT;Utrecht;840;7;847
40094;02UE;02UE00;SGM St Bonifatius Coll;UTRECHT;344;UTRECHT;Utrecht;1588;8;1596
40094;03OY;03OY00;Niftarlake College;MAARSSEN;1904;STICHTSE VECHT;Utrecht;1632;11;1643
40094;07BM;07BM00;De Baanbreker;IJSSELSTEIN UT;353;IJSSELSTEIN;Utrecht;172;0;172
40094;14OY;14OY00;Gerrit Rietveld College;UTRECHT;344;UTRECHT;Utrecht;1321;1;1322
40094;16PA;16PA00;Chr Gymnasium;UTRECHT;344;UTRECHT;Utrecht;947;0;947
40094;17GM;17GM00;Oosterlicht College;NIEUWEGEIN;356;NIEUWEGEIN;Utrecht;1820;5;1825
40094;17GM;17GM02;Oosterlicht College;VIANEN UT;1961;VIJFHEERENLANDEN;Utrecht;814;0;814
40094;18AN;18AN00;Globe College;UTRECHT;344;UTRECHT;Utrecht;750;0;750
40094;23VD;23VD00;Broeckland College;BREUKELEN UT;1904;STICHTSE VECHT;Utrecht;434;0;434
40125;02SY;02SY00;SGM Vwo Dorenweerd Coll;DOORWERTH;274;RENKUM;Gelderland;1112;5;1117
40132;02VR;02VR00;Christelijk Lyceum Zeist;ZEIST;355;ZEIST;Utrecht;1465;7;1472
40132;02VR;02VR02;loc, Christelijk lyceum zeist;ZEIST;355;ZEIST;Utrecht;332;0;332
40132;02VR;02VR04;loc, Revius Lyceum Doorn;DOORN;1581;UTRECHTSE HEUVELRUG;Utrecht;1491;3;1494
40132;02VR;02VR05;loc, Rev lyc wk bij duurstede;WIJK BIJ DUURSTEDE;352;WIJK BIJ DUURSTEDE;Utrecht;667;0;667
40132;02VR;02VR08;Christelijk Lyceum Zeist;ZEIST;355;ZEIST;Utrecht;32;0;32
40132;26HY;26HY00;Seyster College;ZEIST;355;ZEIST;Utrecht;79;0;79
40132;26HY;26HY02;Seyster College;ZEIST;355;ZEIST;Utrecht;116;0;116
40143;01IW;01IW00;Dongemond College;RAAMSDONKSVEER;779;GEERTRUIDENBERG;Noord-Brabant;1423;6;1429
40143;01IW;01IW03;Dongemond College;MADE;1719;DRIMMELEN;Noord-Brabant;567;0;567
40180;00ML;00ML00;Meridiaancollege RK SGM;AMERSFOORT;307;AMERSFOORT;Utrecht;1130;3;1133
40180;00ML;00ML02;Mavo Muurhuizen;AMERSFOORT;307;AMERSFOORT;Utrecht;707;2;709
40180;00ML;00ML05;'t Hooghe Landt;AMERSFOORT;307;AMERSFOORT;Utrecht;684;4;688
40180;00ML;00ML09;Het Element;AMERSFOORT;307;AMERSFOORT;Utrecht;318;0;318
40180;00ML;00ML12;'t Hooghe Landt;AMERSFOORT;307;AMERSFOORT;Utrecht;544;2;546
40209;04IX;04IX00;Kalsbeek College;WOERDEN;632;WOERDEN;Utrecht;1550;11;1561
40209;04IX;04IX01;Kalsbeek College;WOERDEN;632;WOERDEN;Utrecht;1075;5;1080
40232;25KX;25KX00;Lorentz Casimir Lyceum;EINDHOVEN;772;EINDHOVEN;Noord-Brabant;1110;0;1110
40278;13VV;13VV00;Praktijkschool De Zwaaikom;OOSTERHOUT NB;826;OOSTERHOUT;Noord-Brabant;147;0;147
40304;03XS;03XS00;CSW Van de Perre;MIDDELBURG;687;MIDDELBURG;Zeeland;1391;3;1394
40304;03XS;03XS02;CSW Toorop Talent College;MIDDELBURG;687;MIDDELBURG;Zeeland;388;0;388
40304;03XS;03XS03;CSW Bestevaer;VLISSINGEN;718;VLISSINGEN;Zeeland;384;0;384
40304;03XS;03XS08;ISK Walcheren;MIDDELBURG;687;MIDDELBURG;Zeeland;250;0;250
40310;05FB;05FB00;Het Assink lyceum;HAAKSBERGEN;158;HAAKSBERGEN;Overijssel;952;8;960
40310;05FB;05FB01;Het Assink lyceum;EIBERGEN;1859;BERKELLAND;Gelderland;315;0;315
40310;05FB;05FB07;Het Assink lyceum;HAAKSBERGEN;158;HAAKSBERGEN;Overijssel;429;0;429
40310;05FB;05FB08;Het Assink lyceum;NEEDE;1859;BERKELLAND;Gelderland;407;0;407
40310;24TF;24TF00;Staring College;BORCULO;1859;BERKELLAND;Gelderland;1122;3;1125
40310;24TF;24TF01;Staring College;BORCULO;1859;BERKELLAND;Gelderland;316;0;316
40310;24TF;24TF02;Staring College;BORCULO;1859;BERKELLAND;Gelderland;113;0;113
40320;18XX;18XX00;Berechja College;URK;184;URK;Flevoland;602;0;602
40323;00JT;00JT00;GSG Guido;AMERSFOORT;307;AMERSFOORT;Utrecht;632;12;644
40323;00JT;00JT02;GSG Guido;AMERSFOORT;307;AMERSFOORT;Utrecht;481;0;481
40323;00JT;00JT03;GSG Guido Guido De Bres;ARNHEM;202;ARNHEM;Gelderland;189;1;190
40323;00JT;00JT06;GSG Guido;AMERSFOORT;307;AMERSFOORT;Utrecht;446;0;446
40334;14SF;14SF00;SGM De Goudse Waarden;GOUDA;513;GOUDA;Zuid-Holland;374;0;374
40334;14SF;14SF01;SGM De Goudse Waarden;GOUDA;513;GOUDA;Zuid-Holland;980;2;982
40334;30FF;30FF00;PROS De Goudse Waarden;GOUDA;513;GOUDA;Zuid-Holland;91;0;91
40336;25CV;25CV00;Bornego College;HEERENVEEN;74;HEERENVEEN;Friesland;580;7;587
40336;25CV;25CV01;Bornego College- Junior & Mavo;HEERENVEEN;74;HEERENVEEN;Friesland;548;0;548
