BEVOEGD GEZAG NUMMER;BRIN NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;AANTAL LEERLINGEN;AANTAL VO LEERLINGEN UITBESTEED AAN VAVO;TOTAAL AANTAL LEERLINGEN
78157;02UC;02UC00;Atheneum Coll Hageveld;HEEMSTEDE;0397;HEEMSTEDE;Noord-Holland;1386;4;1390
78457;23GF;23GF00;Stg Cheider VO;AMSTERDAM;0363;AMSTERDAM;Noord-Holland;39;0;39
78482;02UG;02UG00;Laurens Lyceum;ROTTERDAM;0599;ROTTERDAM;Zuid-Holland;947;4;951
78769;04DF;04DF00;Ashram College;ALPHEN AAN DEN RIJN;0484;ALPHEN AAN DEN RIJN;Zuid-Holland;1215;12;1227
78769;04DF;04DF01;Ashram College;NIEUWKOOP;0569;NIEUWKOOP;Zuid-Holland;302;0;302
79314;02UP;02UP00;Marnix College;EDE GLD;0228;EDE;Gelderland;844;21;865
79314;02UP;02UP01;Marnix College;EDE GLD;0228;EDE;Gelderland;436;0;436
79496;02UT;02UT00;VCL;'S-GRAVENHAGE;0518;S GRAVENHAGE;Zuid-Holland;777;9;786
80082;01MB;01MB00;RK Alfrink College SGM;ZOETERMEER;0637;ZOETERMEER;Zuid-Holland;1704;2;1706
80328;02VM;02VM00;Christelijk Lyceum SGM;VEENENDAAL;0345;VEENENDAAL;Utrecht;2097;13;2110
83228;01GX;01GX00;Chr Lyceum Delft;DELFT;0503;DELFT;Zuid-Holland;1738;4;1742
83228;01GX;01GX02;Chr Lyceum Delft;DELFT;0503;DELFT;Zuid-Holland;485;3;488
83228;01GX;01GX03;Chr Lyceum Delft;DELFT;0503;DELFT;Zuid-Holland;241;0;241
84021;01RL;01RL00;Jacobus Fruijtier SGM;APELDOORN;0200;APELDOORN;Gelderland;1365;15;1380
84021;01RL;01RL01;Jacobus Fruijtier SGM;RIJSSEN;1742;RIJSSEN-HOLTEN;Overijssel;575;0;575
84021;01RL;01RL02;Jacobus Fruijtier SGM;UDDEL;0200;APELDOORN;Gelderland;514;0;514
85425;07FH;07FH00;Mendel College;HAARLEM;0392;HAARLEM;Noord-Holland;1749;28;1777
88518;02XE;02XE00;Chr School De Saad;DAMWALD;1891;DANTUMADIEL;Friesland;288;0;288
90897;02XQ;02XQ00;Inspecteur Boelensschool;SCHIERMONNIKOOG;0088;SCHIERMONNIKOOG;Friesland;34;0;34
91092;02XS;02XS00;Altena College Chr SGM;SLEEUWIJK;1959;ALTENA;Noord-Brabant;1207;5;1212
95785;16TV;16TV00;Vrije School Z-Holland;'S-GRAVENHAGE;0518;S GRAVENHAGE;Zuid-Holland;776;4;780
95785;16TV;16TV01;Vrije School Z-Holland;ROTTERDAM;0599;ROTTERDAM;Zuid-Holland;934;11;945
95785;16TV;16TV02;Vrije School Z-Holland;LEIDEN;0546;LEIDEN;Zuid-Holland;591;10;601
99048;02ZC;02ZC00;Gymn vh Bernardinuscoll;HEERLEN;0917;HEERLEN;Limburg;297;0;297
99048;13FB;13FB00;Katholieke School voor Pro;HEERLEN;0917;HEERLEN;Limburg;261;0;261
99048;16VM;16VM00;Herlecollege;HEERLEN;0917;HEERLEN;Limburg;487;1;488
99048;16VM;16VM07;Herlecollege;HEERLEN;0917;HEERLEN;Limburg;163;0;163
99048;17JB;17JB00;Charlemagne College;LANDGRAAF;0882;LANDGRAAF;Limburg;1465;17;1482
99048;17JB;17JB01;Charlemagne College;LANDGRAAF;0882;LANDGRAAF;Limburg;563;7;570
99048;17JB;17JB02;Charlemagne College;KERKRADE;0928;KERKRADE;Limburg;376;0;376
99048;19HV;19HV00;Ath vh Bernardinuscol;HEERLEN;0917;HEERLEN;Limburg;501;0;501
99048;19QC;19QC00;Bernardinuscollege;HEERLEN;0917;HEERLEN;Limburg;492;0;492
99048;19XS;19XS00;Sintermeertencollege;HEERLEN;0917;HEERLEN;Limburg;1354;4;1358
99048;19XS;19XS01;Sintermeertencollege;HEERLEN;0917;HEERLEN;Limburg;134;0;134
99048;26KZ;26KZ00;Openbare School voor Pro;HEERLEN;0917;HEERLEN;Limburg;246;0;246
